"","Genotype","Temperature","N_Genotypes","Diverse","Single","Metric","Stage"
"1","1","Ambient",5,1,0.95,"Survival","Adult"
"2","1","High",5,0.9,0.95,"Survival","Adult"
"3","ClusterC","Ambient",5,0.95,1,"Survival","Adult"
"4","ClusterC","High",5,1,0.8375,"Survival","Adult"
"5","ClusterA","Ambient",5,1,0.966666666666667,"Survival","Adult"
"6","ClusterA","High",5,0.966666666666667,0.966666666666667,"Survival","Adult"
"7","4","Ambient",5,1,1,"Survival","Adult"
"8","4","High",5,0.9,0.25,"Survival","Adult"
"9","23","Ambient",5,1,1,"Survival","Adult"
"10","23","High",5,0.5,0,"Survival","Adult"
